Word,Post_Count
to,4
for,4
the,4
of,4
dark,4
and,4
in,3
toffee,3
fruit,3
taste,3
brown,3
feel,3
bourbon,3
not,3
off,2
boozy,2
this,2
complex,2
chocolate,2
super,2
one,2
barrels,2
project,2
deep,2
barley,2
is,2
it,2
smell,2
no,2
barrel,2
much,2
look,2
side,2
with,2
fantastic,2
perfect,1
raisin,1
pours,1
phenomenal,1
pour,1
perfection,1
1oz,1
overall,1
nose,1
molasses,1
moment,1
monthly,1
more,1
mos,1
never,1
oak,1
our,1
offering,1
on,1
rimming,1
only,1
or,1
ordered,1
regular,1
so,1
ring,1
warm,1
too,1
touch,1
trouble,1
understatement,1
ve,1
velvety,1
very,1
was,1
toasted,1
way,1
were,1
willet,1
wine,1
wood,1
woody,1
would,1
tongue,1
thickness,1
rise,1
special,1
ruby,1
rustic,1
say,1
similar,1
slight,1
meet,1
some,1
st,1
they,1
star,1
stumbled,1
style,1
support,1
sweet,1
sweetness,1
than,1
mjk,1
leather,1
medium,1
me,1
blend,1
body,1
booze,1
brandy,1
brazilian,1
brew,1
but,1
bw,1
can,1
caramel,1
carb,1
carbonation,1
char,1
charts,1
cinnamon,1
cocoa,1
copper,1
best,1
beers,1
beercation,1
amazing,1
2024,1
31,1
32,1
4oz,1
absolute,1
all,1
also,1
amber,1
beer,1
amburana,1
an,1
anise,1
aromas,1
background,1
barleywine,1
be,1
darkest,1
destination,1
did,1
lacing,1
head,1
heavy,1
hot,1
hour,1
incredibly,1
insanely,1
into,1
leans,1
has,1
2021,1
level,1
lingers,1
louis,1
making,1
malty,1
massive,1
have,1
hands,1
disappoint,1
every,1
down,1
drive,1
dry,1
earth,1
earthy,1
estate,1
ever,1
explode,1
had,1
family,1
focus,1
four,1
full,1
gift,1
good,1
great,1
wow,1
